Province|Municipality|Address|Landline|Fax|Email|||||
Agusan del Sur|Municipality of Esperanza||Tel.: (085) 341-8659|||||||
Agusan del Sur|Municipality of La Paz||Tel.: (085) 341-8659|||||||
Agusan del Sur|Municipality of Loreto||Tel.: (085) 241-3017 / 343-9230|||||||
Agusan del Sur|Prosperidad City (Capital)||Tel.: (085) 241-3033 / (085) 241-3004|||||||
Agusan del Sur|Municipality of Rosario||Tel.: (085) 343-8361|||||||
Agusan del Sur|Municipality of San Francisco||Tel.: 0918-6017333|||||||
Agusan del Sur|Municipality of San Luis||Tel.: 0916-5569870|||||||
Agusan del Sur|Municipality of SIbagat||Tel.: 0939-9161208|||||||
Agusan del Sur|Municipality of Sta. Josefa||Tel.: 0929-7791862|||||||
Agusan del Sur|Municipality of Talacogon||Tel.: 0920-3770716|||||||
Agusan del Sur|Municipality of Trento||Tel.: (085) 255-2415 / (085) 255-2475|||||||
Agusan del Sur|Municipality of Veruela||Tel.: (085) 255-2100|||||||
|Provincial Governement of Dinagat Islands|Provincial Capitol, 8300 Tandag, Surigao del Sur|Tel.: (086) 826-5531 / 826-8324 /(02) 952-0770|||||||
Dinagat Islands|Municipality of Basilisa (Rizal)|||||||||
Dinagat Islands|Municipality of Cagdinao||Tel.: (086) 365-1607|||||||
Dinagat Islands|Municipality of Dinagat||Tel.: (086) 365-1663|||||||
Dinagat Islands|Municipality of Libjo (Albor)||Tel.: (086) 365-1709|||||||
Dinagat Islands|Municipality of Loreto||Tel.: (086) 365-1717|||||||
Dinagat Islands|Municipality of San Jose|||||||||
Dinagat Islands|Municipality of Tubajon||Tel.: (086) 365-1973|||||||
|Provincial Government of Surigao del Norte||Tel.: (086) 232-7909 / 826-0462|||||||
Surigao del Norte|Municipality of Alegria||Tel.: (086) 826-3085|||||||
Surigao del Norte|Municipality of Bacuag||Tel.: (086) 365-1568 / 826-5324|||||||
Surigao del Norte|Municipalityof Burgos||Tel.: (086) 283-7293 / 232-6565|||||||
Surigao del Norte|Municipality of Claver||Tel.: (086) 232-6586|||||||
Surigao del Norte|Municipality of Dapa||Tel.: (086) 232-6590|||||||
Surigao del Norte|Municipality of Del Carmen||Tel.: (086) 365-1651|||||||
Surigao del Norte|Municipality of General Luna||Tel.: (086) 232-0591|||||||
Surigao del Norte|Municipality of Gigacuit||Tel.: (086) 365-1788 / 232-6583|||||||
Surigao del Norte|Municipality of Mainit||Tel.: 0919-2958095|||||||
Surigao del Norte|Municipality of Malimono||Tel.: (086) 325-5195; 321-3745|||||||
Surigao del Norte|Municipality of Pilar||Tel.: (086) 232-6594|||||||
Surigao del Norte|Municipality of Placer||Tel.: (086) 232-6584|||||||
Surigao del Norte|Municipality of San Benito||Tel.: (086) 826-2434|||||||
Surigao del Norte|Municipality of San Francisco||Tel.: (086) 826-3524|||||||
Surigao del Norte|Municipality of San Isidro||Tel.: (086) 826-3745|||||||
Surigao del Norte|Municipality of Santa Monica||Tel.: (086) 232-5678|||||||
Surigao del Norte|Municipality of Sison||Tel.: (086) 365-1854|||||||
Surigao del Norte|Surigao City (Capital) ||Tel.: (086) 801-2016 / 826-0249 / 0918-8180113|||||||
Surigao del Norte|Municipality of Socorro||Tel.: (086) 826-2550|||||||
Surigao del Norte|Municipality of Tagana-an||Tel.: (086) 232-6582|||||||
Surigao del Norte|Municipality of Tubod|||||||||
|Provincial Government of Surigao del Sur||Tel: (086) 211-3633 ; (086) 211-3634|||||||
Surigao del Sur|Municipality of Barobo||Tel: 0910-069-8728|||||||
Surigao del Sur|Municipality of Bayabas||Tel: (086) 853-6089 ; (086) 853-6088|||||||
Surigao del Sur|Municipality of Bisilig||Tel: (086) 839-3542; (086) 853-5495|||||||
Surigao del Sur|Municipality of Cagwait||Tel: (086) 211-3033; (086) 211-3154|||||||
Surigao del Sur|Municipality of Cantilan||Tel: (086) 212-5122|||||||
Surigao del Sur|Municipality of Carmen||Tel: (086) 212-5175 ; (086) 212-5122|||||||
Surigao del Sur|Municipality of  Carrascal||Tel: (086) 211-3150|||||||
Surigao del Sur|Municipality of Cortes|||||||||
Surigao del Sur|Municipality of Hinatuan|||||||||
Surigao del Sur|Municipality of Lanuza|||||||||
Surigao del Sur|Municipality of Lianga|||||||||
Surigao del Sur|Municipality of Lingig|||||||||
Surigao del Sur|Municipality of Madrid||Tel: (086) 213-4065; (086) 214-2116|||||||
Surigao del Sur|Municipality of Marihatag||Tel: (086) 211-3535 ; (086) 211-3535|||||||
Surigao del Sur|Municipality of San Agustin|||||||||
Surigao del Sur|Municipality of San Miguel|||||||||
Surigao del Sur|Municipality of Tagbina|||||||||
Surigao del Sur|Municipality of Tago|||||||||
Surigao del Sur|Tandag City (Capital)||Tel: (086) 211-3033; (086) 839-3542|||||||
|Provincial Government of Basilan|Provincial Capitol, 7300 Isabela, Basilan|Tel.: (062) 200-3414/ 0918-8090989 / Telefax: 200-3427 |(062) 200-3419||||||
Basilan|Municipality of Al-Barka|||||||||
Basilan|Municipality of Hadji Mohammad Ajul|||||||||
Basilan|Municipality of Hadji Muhtamad|||||||||
Basilan|Municipality of Lantawan||Tel.: (062) 200-3129; 200-7343|||||||
Basilan|Municipality of Maluso|||||||||
Basilan|Municipality of Sumisip|||||||||
Basilan|Municipality of Tabuan-Lasa|||||||||
Basilan|Municipality of Ungkaya Pukan|||||||||
|Provincial Government of Lanao del Sur|Provincial Capitol, 9700 Marawi City, Lanao del Sur|Tel.: (064) 421-3276 / 0919-554722|(02) 928-9491||||||
Lanao del Sur|Municipality of Bacolod Kalawi (Bacolod Grande)||Tel.: 0915-1368395|||||||
Lanao del Sur|Municipality of Balabagan||Tel.: 0920-5011717|||||||
Lanao del Sur|Municipality of Balindong||Tel.: 0917-7191770|||||||
Lanao del Sur|Municipality of Binidayan||Tel.: 0917-3243074|||||||
Lanao del Sur|Municipality of Buadiposo-Buntong||Tel.: 0919-9200008|||||||
Lanao del Sur|Municipality of Calanogas||Tel.: 0919-4580260|||||||
Lanao del Sur|Municipality of Ditsaan-Ramain||Tel.: 0929-4068819|||||||
Lanao del Sur|Municipality of Madamba||Tel.: 0918-9790331|||||||
Lanao del Sur|Municipality of Malabang||Tel.: 0920-2053534|||||||
Lanao del Sur|Municipality of Marantao||Tel.: (063) 352-0320 / 351-7697 / 0916-7848015|||||||
Lanao del Sur|Municipality of Saguiaran||Tel.: 0906-2321409|||||||
Lanao del Sur|Municipality of Tagoloan II||Tel.: 0929-3333335|||||||
Lanao del Sur|Municipality of Tugaya||Tel.: 0947-1477255|||||||
Lanao del Sur|Municipality of Bayang||Tel.: 0920-9477049|||||||
Lanao del Sur|Municipality of Bubong||Tel.: 0939-9229644|||||||
Lanao del Sur|Municipality of Bumbaran||Tel.: 0917-8181905|||||||
Lanao del Sur|Municipality of Butig||Tel.: 0999-9919837|||||||
Lanao del Sur|Municipality of Ganassi||Tel.: 0918-8881980|||||||
Lanao del Sur|Municipality of Kapai|||||||||
Lanao del Sur|Municipality of Kapatagan|||||||||
Lanao del Sur|Municipality of Lumba-a-Bayabao||Tel.: 0906-6543781|||||||
Lanao del Sur|Municipality of Lumbaca-Unayan||Tel.: 0917-7145666|||||||
Lanao del Sur|Municipality of Lumbatan||Tel.: 0999-8873589|||||||
Lanao del Sur|Municipality of Lumbayanague||Tel.: 0918-9855381|||||||
Lanao del Sur|Municipality of Madalum||Tel.: 0905-4114390|||||||
Lanao del Sur|Municipality of Maguing||Tel.: 0921-5364829|||||||
Lanao del Sur|Marawi City (Capital) ||Telefax:  (063) 520-0320 / Tel: 0927-7111687|||||||
Lanao del Sur|Municipality of Marogong||Tel.: (063) 221-8615 / 0910-7978584|||||||
Lanao del Sur|Municipality of Masiu||Tel.: 0918-6998515|||||||
Lanao del Sur|Municipality of Mulondo||Tel.: 0915-7546971|||||||
Lanao del Sur|Municipality of Pagayawan|||||||||
Lanao del Sur|Municipality of Piagpao||Tel.: 0918-8755755|||||||
Lanao del Sur|Municipality of Picong||Tel.: 0919-8184132|||||||
Lanao del Sur|Municipality of Poon-a-Bayabao||Tel.: 0917-7068410|||||||
Lanao del Sur|Municipality of Pualas||Tel.: 0926-6210808|||||||
Lanao del Sur|Municipality of Sultan Dumalondong||Tel.: 0926-3457343|||||||
Lanao del Sur|Municipality of Tamparan||Tel.: 0920-9735887|||||||
Lanao del Sur|Municipality of Taraka||Tel.: 0918-9671988|||||||
Lanao del Sur|Municipality of Tubaran|||||||||
Lanao del Sur|Municipality of Wao|||||||||
|Provincial Government of Maguindanao|Provincial Capitol, 9605 Sultan Kudarat, Maguindanao|Tel.: (064) 489-0997 /  0995 / 0917-7071011|(064) 489-0905||||||
Maguindanao|Municipality of Ampatuan||Tel.: (064) 200-4676 / 0939-1419203|||||||
Maguindanao|Municipality of Barira||Tel.: 0920-9702517|||||||
Maguindanao|Municipality of Buldon||Tel.: (064) 429-0021|||||||
Maguindanao|Buluan City (Capital)||Tel.: 0920-2999356|||||||
Maguindanao|Municipality of Datu Abdullah Sangki|||||||||
Maguindanao|Municipality of Datu Anggal Midtimbang|||||||||
Maguindanao|Municipality of Datu Blah T. Sinsuat||Tel.: (064) 390-1830; 390-3868|||||||
Maguindanao|Municipality of Datu Hoffer Ampatuan|||||||||
Maguindanao|Municipality of Datu Montawal (Pagagawan)||Tel.: 0916-2815999|||||||
Maguindanao|Municipality of Datu Odin Sinsuat||Tel.: (064) 421-8241 / 0915-9086904|||||||
Maguindanao|Municipality of Datu Paglas||Tel.: (064) 384-2135 / 0905-3571432|||||||
Maguindanao|Municipality of Datu Piang||Tel.: (064) 421-7630 / 0917-6224290|||||||
Maguindanao|Municipality of Datu Salibo|||||||||
Maguindanao|Municipality of Datu Saudi-Ampatuan|||||||||
Maguindanao|Municipality of Datu Unsay||Tel.: 0906-0266845|||||||
Maguindanao|Municipality of Gen. Salipada K. Pendatun||Tel.: (064) 200-4024|||||||
Maguindanao|Municipality of Guindulungan||Tel.: 0920-2097177|||||||
Maguindanao|Municipality of Kabantulan||Tel.: 0917-4918433|||||||
Maguindanao|Municipality of Mamasapano|||||||||
Maguindanao|Municipality of Mangudadatu|||||||||
Maguindanao|Municipality of Matanong||Tel.: (064) 421-3324|||||||
Maguindanao|Municipality of Northern Kabuntalan|||||||||
Maguindanao|Municipality of Pagalungan||Tel.: (064) 421-1733; 0927-7993780|||||||
Maguindanao|Municipality of Paglat||Tel.: 0917-7014747|||||||
Maguindanao|Municipality of Pandag||Tel.: 0917-6310420|||||||
Maguindanao|Municipality of Parang||Tel.: (064) 425-0169 /  425-0012 / 425-0028|||||||
Maguindanao|Municipality of Rajah Buayan||Tel.: 0917-5251875|||||||
Maguindanao|Municipality of Shariff Aguak||Tel.: (064) 489-0967 / 489-0969|||||||
Maguindanao|Municipality of Shariff Saydona Mustapha|||||||||
Maguindanao|Municipality of South Upi||Tel.: 0920-5708506|||||||
Maguindanao|Municipality of Sultan Kudarat||Tel.: (064) 429-007|Fax: (064) 429-0081||||||
Maguindanao|Municipality of Sultan Mastura||Tel.: (064) 421-5674 / 0927-9706696|||||||
Maguindanao|Municipality of Sultan sa Barongis||Tel.: 0915-7099214|||||||
Maguindanao|Municipality of Talayan||Tel.: (064) 648-0185; 0915-8491847|||||||
Maguindanao|Municipality of Talitay||Tel.: 0917-7317811|||||||
Maguindanao|Municipality of Upi||Tel.: (064) 421-9135|||||||
|Provincial Government of Sulu|Provincial Capitol, 7400 Kakuyugan, Jolo, Sulu|Tel.: (085) 341-8911; 0917-7249487||sulogovernment@yahoo.com|||||
Sulu|Municipality of Hadji Panglima Tahil||Tel.: 0917-7022870|||||||
Sulu|Municipality of Indanan||Tel.: 0917-4681940|||||||
Sulu|Municipality of Jolo (Capital)||Tel.: 0917-8064605||jolo_lgu@yahoo.com|||||
Sulu|Municipality of Kalingalan Caluang||Tel.: 0915-5367515||Zheeilh22@yahoo.com|||||
Sulu|Municipality of Lugus||Tel.: 0927-3295344|||||||
Sulu|Municipality of Luuk||Tel.: (062) 541-3876 / 0925-8014545|||||||
Sulu|Municipality of Maimbung||Tel.: 0917-4550033||samizzr@yahoo.com|||||
Sulu|Municipality of Omar||Tel.: 0917-3256570|||||||
Sulu|Municipality of Panamao||Tel.: 0906-9094200|||||||
Sulu|Municipality of Pandami||Tel.: 0906-8270145|||||||
Sulu|Municipality of Panglima Estino||Tel.: (062) 540-8672 / 0939-9375441 / 0917-7002854|||||||
Sulu|Municipality of Pangutaran||Tel.: 0915-2800635|||||||
Sulu|Municipality of Parang||Tel.: 0927-4806578||patta_jajie@yahoo.com|||||
Sulu|Municipality of Pata||Tel.: 0927-3466083|||||||
Sulu|Municipality of Patikul||Tel.: 0906-8513296|||||||
Sulu|Municipality of Siasi||Tel.: (062) 288-2357 / 0917-7104969|||||||
Sulu|Municipality of Talipao||Tel.: 0917-5982721||sittiraya.tulawie@gmail.com|||||
Sulu|Municipality of Tapul||Tel.: 0906-6768967|||||||
Sulu|Municipality of Tongkil (Banguingui)||Tel.: (062) 991-5804; 0917-7248157|||||||
|Provincial Government of Tawi-Tawi|Provincial Capitol, 7500 Bongao, Tawi-Tawi|Tel.: 0908-8833755||vgmkahja@yahoo.com|||||
Tawi-Tawi|Municipality of Bongao||Tel.: (068) 268-1004 / (068) 268-1350 / 0917-7183902||bongao.tawitawi@yahoo.com|||||
Tawi-Tawi|Municipality of Languyan||Tel.: 0999-9914669|||||||
Tawi-Tawi|Municipality of Mapun||Tel.: (062) 985-0912 / 0927-5533383|||||||
Tawi-Tawi|Municipality of Panglima Sugala||Tel.: 0917-5767018|||||||
Tawi-Tawi|Municipality of Sapa-Sapa||Tel.: 0949-3308090|||||||
Tawi-Tawi|Municipality of Sibutu||Tel.: 0939-9234594|||||||
Tawi-Tawi|Municipality of Simunul||Tel.: 0928-2157947||Nazifabdurahman@yahoo.com|||||
Tawi-Tawi|Municipality of Sitangkai||Tel.: 0939-9078912 / 0905-8930910|||||||
Tawi-Tawi|Municipality of South Ubian||Tel.: 0999-9800655||omarsalma@yahoo.com|||||
Tawi-Tawi|Municipality of Tandubas||Tel.: 0908-9978580|||||||
Tawi-Tawi|Municipality of Turtle Islands||Tel.: 0906-9233024|||||||
|Provincial Government of Aklan|Provincial Capitol, 5600 Kalibo, Aklan|Tel: (036) 262-4741/ 262-3132 / 09189014504|(036) 262-3132|aklanpgo@yahoo.com|||||
Aklan|Municipality of Altavas||Tel: (036) 269-1059 / 0949-8910438||pesoaltavas@yahoo.com.ph|||||
Aklan|Municipality of Balete||Tel: (036) 272-3811 / 0920-9260195|(036) 272-3811|suatbalete@yahoo.com|||||
Aklan|Municipality of Banga||Tel: (036) 267-5823 / 0917-7172068|(036) 267-5823|fesobanga@yahoo.com|||||
Aklan|Municipality of Batan||Tel: (036) 271-2120 / 0920-9181801||batanpeso@yahoo.com.ph|||||
Aklan|Municipality of Buruanga||Tel: 0917-3054968 / 0927-7238434||pesoburuanga@yahoo.com.ph|||||
Aklan|Municipality of Ibajay||Tel: (036) 289-2495 / (036) 289-2025 / 0928-5070393||lguibajay@yahoo.com|||||
Aklan|Municipality of Kalibo (Capital)||Tel: (036) 262-3241 / 0910-4253509||lgukalibo@yahoo.com|||||
Aklan|Municipality of Lezo||Tel: (036) 274-7049 / (036) 274-7291 / 0929-8145173||lgu_lezo_aklan@yahoo.com|||||
Aklan|Municipality of Libacao||Tel: (036) 273-2223 / (036) 273-2241 / 0918-9515246||lgulibacao@gmail.com|||||
Aklan|Municipality of Madalag||Tel: (036) 515-4169 / 0921-4628329||pesomadalag@yahoo.com|||||
Aklan|Municipality of Makato||Tel: (036) 276-6329 / 0919-5332881||pesomakato@yahoo.com.ph|||||
Aklan|Municipality of Malay||Tel: (036) 288-8748 / (036) 288-8808 / (036) 288-8772 / 0906-5226039||malaypeso@yahoo.com.ph|||||
Aklan|Municipality of Malinao||Tel: (036) 275-8121 / 0939-9396362 / 0947-5628143||lgu.malinao@yahoo.com|||||
Aklan|Municipality of Nabas||Tel: (036) 289-1033/1030; 0908-9349681|(036) 289-1807|lgunabas2013@gmail.com|||||
Aklan|Municipality of New Washington||Tel: (036) 264-3367; 0920-9175619||lgunewwashington16@gmail.com|||||
Aklan|Municipality of Numancia||Tel:  (036) 268-4176 / (036) 265-6597/ (036) 265-6759|265-6759|lgunumanciaaklan@yahoo.com|||||
Aklan|Municipality of Tangalan||Tel: (036) 265-2004 / (036) 265-2048 / 0908-8657015||pesotangalan@yahoo.com.ph|||||
|Provincial Government of Antique|Provincial Capitol, 5700 San Jose, Antique|(036) 540-9351 / 540-9649/ 0917-5306949|(036) 540-8198/ (036) 540-9649|gov.dododcadiao@yahoo.com|||||
Antique|Municipality of Anini-y||Tel:  0906-3544606||lourdes_pollicar@yahoo.com|||||
Antique|Municipality of Barbaza||Tel:  (02) 895-6238||mfgrodriguez@yahoo.com|||||
Antique|Municipality of Belison||Tel: (036) 910-0008||it_lgubelison@yahoo.com|||||
Antique|Municipality of Bugasong||Tel: 09179076822||jocelyn_tordesillas@yahoo.com|||||
Antique|Municipality of Caluya||Tel: (02) 716-2023 / 0920-8573257||jhenmel_55@yahoo.com|||||
Antique|Municipality of Culasi||Tel: (036) 288-8370 / (036) 288-8278||zenaidasumugat@ymail.com|||||
Antique|Municipality of Hamtic||Tel: 0917-3740330||pingoymhaye@yahoo.com.ph/mcrpechy@yahoo.com|||||
Antique|Municipality of Laua-an||Tel: 0927-9530567||chita_bergantinos@yahoo.com.ph|||||
Antique|Municipality of Libertad||Tel: (036) 278-1501 / 0908-4874594|278-1510|lgu_libertad@yahoo.com|||||
Antique|Municipality of Pandan||Tel: (036) 278-9130 / (036) 278-9128 / 0917-8080889|(036) 278-9781|pandan.antique@gmail.com|||||
Antique|Municipality of Patnongon||Tel: 0917-208374||mildredlabiao@yahoo.com|||||
Antique|Municipality of San Jose (Capital)||Tel: (036) 540-9428/9708||sanjosedebuenavista@yahoo.com|||||
Antique|Municipality of San Remegio||Tel: (036) 320-1315 / 0917-3047074||leizl_soriano2002@yahoo.com|||||
Antique|Municipality of Sebaste||Tel: (036) 278-2003||lgu_sebasteant67@yahoo.com|||||
Antique|Municipality of Sibalom||Tel: (036) 543-5618||rodelesler@yahoo.com|||||
Antique|Municipality of Tibiao||Tel:  (036) 551-6159||rosannadoroteo@yahoo.com|||||
Antique|Municipality of Tobias Fornier||Tel: 0917-5498990||mmrtportillo@yahoo.com|||||
Antique|Municipality of Valderrama||Tel: 0906-6176297 / 0927-2178266||brandz.041776@yahoo.com|||||
|Provincial Government of Capiz|Provincial Capitol, 5800 Roxas City, Capiz|Tel: (036) 621-1607 / 0918-9273515|(036) 621-0595|capizprovince@yahoo.com|||||
Capiz|Municipality of Cuartero||Tel: (036) 535-1101 / 535-1002||lisbo_loida@yahoo.com|||||
Capiz|Municipality of Dao||Tel: (036) 534-1009 / 0917-9770870|||||||
Capiz|Municipality of Dumalag||Tel: (036) 536-2064 / (036) 536-2067 / 0912-8863511||mspepsiblue@yahoo.com|||||
Capiz|Municipality of Dumarao||Tel: (036) 537-3006 / 0917-3120149||hrmo_dumarao@yahoo.com|||||
Capiz|Municipality of Ivisan||Tel: (036) 632-0024/ (036) 632-0030 / 0915-1182444|(036) 632-0024|mayorsofficeivisan@gmail.com|||||
Capiz|Municipality of Jamindan||Tel: (036) 647-0328/ (036) 647-0264 / 0910-5495606||jamindanganun@yahoo.com|||||
Capiz|Municipality of Ma-ayon||Tel: (036) 526-2009 / 0920-9270175||markborres05298@yahoo.com|||||
Capiz|Municipality of Mambusao||Tel: (036) 647-0049|(036) 647-0049|mambusao_lgu@yahoo.com|||||
Capiz|Municipality of Panay||Tel: (036) 621-2022 / 0918-9302812|(036) 621-4792|lgu_panay@yahoo.com|||||
Capiz|Municipality of Panit-an||Tel: (036) 634-0235 / (036) 634-0236||panitan_lgu@fastmail.fm|||||
Capiz|Municipality of Pilar||Tel: (036) 528-4024 / (036) 528-4029 / 0917-5470829|||||||
Capiz|Municipality of Pontevedra||Tel: (036) 634-0493 / 0918-9445448 / 0917-6250814||doletin2008@yahoo.com|||||
Capiz|Municipality of President Roxas||Tel: (036) 634-0501|||||||
Capiz|Roxas City (Capital)||Tel: (036) 621-0500 /  (036) 621-0837 /  0918-9180130|||||||
Capiz|Municipality of Sapi-an||Tel: (036) 647-0504|||||||
Capiz|Municipality of Sigma||Tel: (036) 647-0231/ (036) 647-0444|||||||
Capiz|Municipality of Tapaz||Tel: (036) 536-2011 / 0912-3089794 / 0912-8874485||mpdotapaz@yahoo.com|||||
|Provincial Government of Guimaras|Provincial Capitol, 5045 Jordan, Guimaras|Tel: (033) 237-1111 / (033) 581-3349 / 0908-8640068|(033) 581-2057|public.information_guimaras@yahoo.com|||||
Guimaras|Municipality of Buenavista||Tel: (033) 580-7989/ (033) 580-7916 / 0908-8977488/ 580-8329|(033) 580-7824|reyeseugenio56@yahoo.com|||||
Guimaras|Municipality of Jordan (Capital)||Tel.: (033) 581-3445 / (033) 238-1331 / 0917-3029252||mo_lgu@yahoo.com|||||
Guimaras|Municipality of Nueva Valencia||Tel: (033) 394-0020 / 0930-2246819||eva.emas@yahoo.com|||||
Guimaras|Municipality of San Lorenzo||Tel: 0917-3051475||oma_sanlorenzo@yahoo.com|||||
Guimaras|Municipality of Sibunag||Tel: 0918-5311522||marilou_nieles@yahoo.com|||||
|Provincial Government of Iloilo|Provincial Capitol, 5000 Iznart St., Iloilo City, Iloilo|Tel.: (033) 336-8151 / (033) 338-1698 / 0918-9203070|(033) 337-4230; 336-3669|peso_iloilo@hotmail.com|||||
Iloilo|Municipality of Ajuy||Tel: (033) 392-0408 / (033) 392-0444 / (033) 392-0466||ajuy_lgu @yahoo.com|||||
Iloilo|Municipality of Alimodian||Telefax:  (033) 331-0288||lgualimodian@gmail.com|||||
Iloilo|Municipality of Anilao||Tel: (033) 362-0401 / 0920-9180747|||||||
Iloilo|Municipality of Badiangan||Tel.: (033) 396-2920 / 0919-3320081||lgu_badiangan@yahoo.com|||||
Iloilo|Municipality of Balasan||Tel: (033) 397-0542/ (033) 397-0543|||||||
Iloilo|Municipality of Banate||Tel: (033) 362-0001 / (033) 362-0002 / 0917-3038135|(033) 362-0006|lgubanate@gmail.com|||||
Iloilo|Municipality of Barotac Nuevo||Tel: (033) 361-2504 / (033) 361-2049|(033) 361-2504||||||
Iloilo|Municipality of Barotac Viejo||Tel.: (033) 362-0312/ (033) 362-0160/ (033) 362-0157||evacausing@yahoo.com|||||
Iloilo|Municipality of Batad||Tel: (033) 549-6045|||||||
Iloilo|Municipality of Bingawan||Tel: (033) 396-3175 / (033) 535-5020 / 0917-5751737||lgu_bingawan@yahoo.com/|||||
Iloilo|Municipality of Cabatuan||Tel: (033) 522-8012/ (033) 522 -7861/ 522-8939|||||||
Iloilo|Municipality of Calinog||Tel: (033) 536-0219 / 0917-6228808|||||||
Iloilo|Municipality of Carles||Tel: (033) 552-5121/ (033) 552-5080|||||||
Iloilo|Municipality of Concepcion||Tel: (033) 329-0309/ (033) 329-0373 / 0939-9166788||pesolguconcepcion@yahoo.com|||||
Iloilo|Municipality of Dingle||Tel: (033) 351-0480|||||||
Iloilo|Municipality of Dueñas||Tel: (033) 537-9135; 597-9139|||||||
Iloilo|Municipality of Dumangas||Tel: (033) 361-2400 / (033) 361-2884 / (033) 361-2300 / 0908-6322596||municipalityofdumangas@gmail.com|||||
Iloilo|Municipality of Estancia||Tel: (033) 397-0359 / (033) 397-0732||delosc@rocketmail.com|||||
Iloilo|Municipality of Guimbal||Tel: (033) 512-0011 / 0917-7081222||lgu_guimbal@yahoo.com|||||
Iloilo|Municipality of Igbaras||Tel: (033) 518-4022 / 0929-2025752||mayorescorpion@yahoo.com|||||
Iloilo|Iloilo City (Capital)||Tel: (033) 333-1111 / 0917-1951111/ 337-0085|335-0689|ocmiloilocity@yahoo.com|||||
Iloilo|Municipality of Janiuay||Tel: (033) 531-8719 / 0917-3022578||rjayminurtio@yahoo.com|||||
Iloilo|Municipality of Lambunao||Tel: (033) 533-7243 / 0919-4143634|(033) 533-7243||||||
Iloilo|Municipality of Leganes||Tel: (033) 329-5566 / 329-6622|(33) 329-5566|lguleganes@yahoo.com/ municipalityofleganes@yahoo.com/jalecodanilo2014@gmail.com|||||
Iloilo|Municipality of Lemery||Tel: (033) 544-0011 / (033) 544-0022 / 0919-3135832|||||||
Iloilo|Municipality of Leon||Tel: (033) 331-0033/ (033) 331-0036 / 0915-3715884||peso_leon@yahoo.com|||||
Iloilo|Municipality of Maasin||Tel: (033) 521-0020 / 0939-9391018 / 0917-3121264||tultugan@yahoo.com|||||
Iloilo|Municipality of Miag-ao||Tel: (033) 315-8050 / 0918-9038249 / 0920-6138478||miagaohits@yahoo.com|||||
Iloilo|Municipality of Mina||Tel: (033) 530-9330 / 530-9042|530-9017|minalgu@yahoo.com|||||
Iloilo|Municipality of New Lucena||Tel: (033) 526-2159||nalyn_constantino@yahoo.com|||||
Iloilo|Municipality of Oton||Tel: (033) 335-1014 / 0917-7177612||otonmdrrmc@yahoo.com.ph|||||
Iloilo|City of Passi||Tel: (033) 311-6029/ (033) 311-5087 / 0918-8000501|(033) 311-5087|passicity.iloilo@gmail.com|||||
Iloilo|Municipality of Pavia||Tel: (033) 329-7229 / 320-0039|Fax: (033) 329-7229 ||||||
Iloilo|Municipality of Pototan||Tel: (033) 529-7172/ (033) 529-8492/ (033) 529-7333|||||||
Iloilo|Municipality of San Dionisio||Tel: (033) 392-0522 / 0920-9089774|||||||
Iloilo|Municipality of San Enrique||Tel: (033) 351-0314|||||||
Iloilo|Municipality of San Joaquin||Tel: (033) 314-7001 / 523-9050|Fax: (033) 314-7001 |lgu.sanjoaquin@yahoo.com|||||
Iloilo|Municipality of San Miguel||Tel: (033) 331-0670 / 331-0689|Fax: (033) 331-0670|lgusanmiguel_2014@yahoo.com.ph|||||
Iloilo|Municipality of San Rafael||Tel: (033) 320-1213 / 0928-2172189 / 0921-5789094|||||||
Iloilo|Municipality of Sta. Barbara||Tel: (033) 523-8000 / 0917-7220428||ugyon.santabarbara@gmail.com|||||
Iloilo|Municipality of Sara||Tel: (033) 392-0110/ 392-0111/ 392-0077|392-0077|saralgu@yahoo.com|||||
Iloilo|Municipality of Tigbauan||Tel: (033) 511-9160/ (033) 511-7936|511-8790|lgutigbauan@gmail.com|||||
Iloilo|Municipality of Tubungan||Tel: (033) 517-3011||tubong_lgu@yahoo.com|||||
Iloilo|Municipality of Zarraga||Tel: (033) 525-4068 / (033) 525-4094|||||||
|Provincial Government of Negros Occidental|Provincial Capitol, 6100 Bacolod City, Negros Occidental|Tel: 0917-300002 / 0918-90255892|||||||
Negros Occidental|Bacolod City (Capital)|City Hall, Bacolod City|Tel: (034) 434-1212 / 0917-5287104/709-1786||bacolodcitymayors.office@yahoo.com|||||
Negros Occidental|Bago City||Tel: (034) 461-0464|||||||
Negros Occidental|Municipality of Binalbagan||Tel: (034) 388-8288 / 0920-9019417|||||||
Negros Occidental|Cadiz City||Tel: (034) 493-1447|(034) 493 1447||||||
Negros Occidental|Municipality of Calatrava||Tel: (043) 727-7252|||||||
Negros Occidental|Municipality of Candoni||Tel: (034) 281-0344|||||||
Negros Occidental|Municipality of Cauayan||Tel: 0918-7192132||peter10_famatid@yahoo.com|||||
Negros Occidental|Municipality of E.B. Magalona||Tel: (034) 495-3534 / 0917-5220022/ 495-1076/ 495-1100/||ebmagalona_2011@yahoo.com|||||
Negros Occidental|City of Escalante||Tel: (034) 454-0362 / 0920-9277606|(034) 454-0362|bigmike_esca@yahoo.com|||||
Negros Occidental|City of Himamaylan||Tel: (043) 388-3504|(034) 388-3683|sofiae_0711@yahoo.com|||||
